Cluster 2 - Alle Spieler:

 PCT_OREB  PCT_DREB  PCT_AST  PCT_TOV  PCT_STL  PCT_BLK  PCT_PTS
    0.185     0.189    0.208    0.185    0.410    0.201    0.170
    0.052     0.110    0.516    0.411    0.163    0.041    0.265
    0.120     0.148    0.214    0.176    0.210    0.217    0.187
    0.156     0.189    0.173    0.188    0.261    0.171    0.204
    0.060     0.145    0.362    0.249    0.215    0.140    0.215
    0.140     0.173    0.197    0.177    0.192    0.160    0.264
    0.161     0.205    0.256    0.285    0.196    0.130    0.229
    0.176     0.133    0.242    0.154    0.198    0.058    0.212
    0.121     0.149    0.246    0.212    0.203    0.261    0.199
    0.080     0.313    0.307    0.332    0.197    0.127    0.301
    0.172     0.185    0.233    0.316    0.240    0.074    0.261
    0.201     0.136    0.224    0.171    0.232    0.120    0.150
    0.116     0.181    0.414    0.358    0.213    0.090    0.331
    0.053     0.138    0.226    0.236    0.179    0.070    0.252
    0.082     0.147    0.154    0.140    0.240    0.154    0.166
    0.089     0.104    0.354    0.294    0.224    0.060    0.258
    0.111     0.169    0.279    0.261    0.235    0.079    0.299
    0.152     0.128    0.298    0.253    0.311    0.026    0.246
    0.046     0.131    0.317    0.161    0.216    0.077    0.175
    0.205     0.195    0.209    0.200    0.224    0.057    0.203
    0.049     0.130    0.185    0.278    0.181    0.062    0.236
    0.209     0.182    0.338    0.364    0.289    0.164    0.191
    0.332     0.377    0.390    0.330    0.295    0.194    0.301
    0.081     0.127    0.260    0.216    0.238    0.144    0.232
    0.058     0.125    0.353    0.234    0.210    0.056    0.199
    0.099     0.213    0.466    0.404    0.172    0.199    0.306
    0.070     0.175    0.285    0.299    0.176    0.140    0.303
    0.147     0.224    0.219    0.165    0.195    0.080    0.186
    0.310     0.147    0.287    0.155    0.228    0.121    0.231
    0.056     0.180    0.221    0.264    0.153    0.103    0.270
    0.052     0.133    0.332    0.161    0.251    0.121    0.170
    0.171     0.160    0.416    0.263    0.332    0.138    0.211
    0.112     0.264    0.164    0.210    0.239    0.208    0.169
    0.094     0.132    0.438    0.196    0.264    0.168    0.224
    0.107     0.141    0.278    0.233    0.231    0.052    0.143
    0.090     0.207    0.463    0.398    0.220    0.214    0.272
    0.129     0.152    0.294    0.247    0.201    0.097    0.238
    0.155     0.285    0.424    0.363    0.186    0.171    0.296
    0.163     0.132    0.233    0.147    0.188    0.052    0.172
    0.102     0.299    0.397    0.369    0.285    0.121    0.318
    0.151     0.163    0.347    0.249    0.299    0.149    0.190
    0.152     0.197    0.323    0.303    0.217    0.193    0.232
    0.098     0.143    0.237    0.149    0.196    0.030    0.152
    0.064     0.195    0.284    0.260    0.151    0.077    0.290
    0.078     0.096    0.315    0.217    0.204    0.084    0.127
    0.302     0.215    0.226    0.241    0.279    0.124    0.186
    0.198     0.140    0.154    0.178    0.189    0.281    0.257
    0.158     0.220    0.368    0.298    0.298    0.089    0.228
    0.079     0.156    0.375    0.288    0.249    0.048    0.285
    0.157     0.147    0.226    0.221    0.326    0.200    0.177
    0.093     0.197    0.241    0.293    0.199    0.167    0.318
    0.081     0.124    0.323    0.145    0.264    0.076    0.140
    0.286     0.224    0.274    0.292    0.134    0.072    0.245
    0.095     0.175    0.251    0.206    0.256    0.099    0.189
