Cluster 2 - Alle Spieler:

 USG_PCT  PCT_FGM  PCT_FGA  PCT_FG3M  PCT_FG3A  PCT_FTM  PCT_FTA  PCT_OREB  PCT_DREB  PCT_REB  PCT_AST  PCT_TOV  PCT_STL  PCT_BLK  PCT_BLKA  PCT_PF  PCT_PFD  PCT_PTS
   0.171    0.183    0.182     0.235     0.217    0.186    0.164     0.183     0.184    0.184    0.073    0.140    0.177    0.137     0.247   0.267    0.177    0.190
   0.136    0.135    0.147     0.172     0.182    0.069    0.066     0.212     0.240    0.233    0.139    0.123    0.159    0.283     0.066   0.153    0.066    0.133
   0.147    0.149    0.159     0.182     0.203    0.105    0.105     0.170     0.171    0.171    0.225    0.142    0.341    0.214     0.124   0.227    0.143    0.146
   0.115    0.122    0.123     0.233     0.146    0.077    0.061     0.290     0.170    0.198    0.081    0.121    0.238    0.000     0.111   0.222    0.034    0.136
   0.123    0.130    0.133     0.217     0.218    0.113    0.111     0.231     0.250    0.246    0.041    0.109    0.244    0.333     0.077   0.304    0.119    0.138
   0.115    0.110    0.111     0.102     0.097    0.041    0.059     0.339     0.168    0.205    0.161    0.197    0.218    0.125     0.104   0.310    0.076    0.100
   0.124    0.137    0.123     0.115     0.109    0.243    0.272     0.198     0.184    0.188    0.083    0.080    0.136    0.059     0.128   0.203    0.237    0.152
   0.153    0.136    0.165     0.000     0.171    0.091    0.206     0.133     0.333    0.278    0.038    0.136    0.333    0.333     0.333   0.261    0.172    0.119
   0.108    0.109    0.125     0.215     0.218    0.058    0.050     0.175     0.164    0.167    0.115    0.066    0.180    0.116     0.114   0.243    0.078    0.113
   0.133    0.127    0.115     0.000     0.000    0.061    0.068     0.240     0.271    0.265    0.458    0.307    0.207    0.240     0.092   0.222    0.132    0.100
   0.121    0.154    0.128     0.154     0.135    0.091    0.154     0.083     0.240    0.189    0.269    0.077    0.333    0.500     0.000   0.471    0.118    0.147
   0.204    0.236    0.225     0.232     0.267    0.159    0.169     0.263     0.254    0.256    0.079    0.138    0.161    0.431     0.000   0.130    0.121    0.227
   0.157    0.176    0.170     0.187     0.194    0.128    0.117     0.274     0.153    0.175    0.104    0.122    0.133    0.565     0.106   0.191    0.136    0.170
   0.143    0.136    0.142     0.120     0.115    0.133    0.165     0.220     0.166    0.179    0.173    0.161    0.204    0.225     0.119   0.186    0.163    0.133
   0.084    0.078    0.090     0.088     0.112    0.075    0.095     0.148     0.130    0.134    0.074    0.069    0.327    0.167     0.102   0.206    0.093    0.079
   0.124    0.135    0.134     0.138     0.141    0.044    0.045     0.169     0.121    0.133    0.173    0.139    0.284    0.148     0.163   0.182    0.059    0.122
   0.208    0.240    0.227     0.314     0.308    0.236    0.231     0.282     0.279    0.280    0.063    0.115    0.173    0.325     0.183   0.177    0.211    0.248
   0.155    0.183    0.166     0.131     0.131    0.171    0.162     0.163     0.164    0.164    0.114    0.110    0.190    0.149     0.222   0.188    0.136    0.176
   0.093    0.118    0.108     0.155     0.156    0.033    0.035     0.382     0.243    0.290    0.152    0.056    0.161    0.222     0.053   0.082    0.106    0.113
   0.142    0.142    0.149     0.128     0.150    0.105    0.116     0.172     0.207    0.198    0.182    0.138    0.287    0.264     0.119   0.189    0.132    0.135
   0.122    0.098    0.133     0.124     0.158    0.076    0.080     0.113     0.114    0.113    0.111    0.118    0.161    0.162     0.118   0.226    0.076    0.098
   0.138    0.141    0.137     0.124     0.127    0.153    0.169     0.169     0.198    0.190    0.169    0.156    0.321    0.213     0.169   0.190    0.194    0.141
   0.136    0.140    0.151     0.190     0.206    0.069    0.068     0.149     0.134    0.138    0.092    0.107    0.197    0.263     0.150   0.241    0.075    0.136
   0.142    0.144    0.141     0.128     0.120    0.152    0.168     0.165     0.120    0.131    0.175    0.164    0.267    0.129     0.173   0.284    0.152    0.143
   0.111    0.117    0.107     0.052     0.073    0.129    0.125     0.299     0.293    0.295    0.180    0.162    0.130    0.313     0.100   0.288    0.187    0.111
   0.157    0.135    0.151     0.123     0.155    0.125    0.141     0.368     0.250    0.275    0.223    0.234    0.189    0.063     0.229   0.238    0.214    0.132
   0.159    0.165    0.165     0.156     0.178    0.150    0.160     0.159     0.264    0.239    0.145    0.156    0.163    0.237     0.220   0.138    0.144    0.162
   0.101    0.097    0.115     0.185     0.198    0.037    0.056     0.181     0.224    0.214    0.105    0.067    0.180    0.180     0.100   0.228    0.065    0.101
   0.111    0.087    0.115     0.113     0.156    0.088    0.109     0.200     0.090    0.116    0.235    0.107    0.278    0.203     0.132   0.106    0.137    0.090
   0.160    0.186    0.173     0.156     0.170    0.128    0.144     0.224     0.132    0.154    0.058    0.115    0.212    0.193     0.159   0.214    0.149    0.174
   0.131    0.111    0.129     0.095     0.123    0.092    0.122     0.248     0.236    0.239    0.193    0.185    0.143    0.080     0.212   0.232    0.106    0.106
   0.123    0.125    0.137     0.219     0.208    0.042    0.051     0.245     0.136    0.159    0.092    0.110    0.192    0.151     0.153   0.189    0.057    0.124
   0.157    0.126    0.140     0.120     0.140    0.138    0.158     0.165     0.251    0.229    0.299    0.293    0.244    0.332     0.094   0.296    0.218    0.127
   0.121    0.110    0.126     0.228     0.194    0.101    0.106     0.167     0.240    0.219    0.140    0.127    0.172    0.083     0.188   0.265    0.111    0.124
   0.205    0.236    0.223     0.117     0.154    0.115    0.142     0.354     0.265    0.284    0.143    0.190    0.108    0.077     0.074   0.175    0.234    0.200
   0.131    0.147    0.127     0.225     0.144    0.082    0.085     0.203     0.124    0.142    0.174    0.200    0.382    0.286     0.074   0.306    0.102    0.144
   0.162    0.182    0.186     0.248     0.246    0.109    0.093     0.326     0.172    0.222    0.116    0.099    0.141    0.368     0.145   0.253    0.086    0.178
   0.178    0.192    0.186     0.114     0.122    0.094    0.121     0.185     0.189    0.188    0.208    0.185    0.410    0.201     0.164   0.180    0.137    0.170
