Cluster 3 - Alle Spieler:

         PLAYER_NAME TEAM_ABBREVIATION  AGE   REB_AVG  AST_AVG  TOV_AVG  STL_AVG  BLK_AVG   PF_AVG  PFD_AVG   PTS_AVG  PLUS_MINUS_AVG  HEIGHT  WEIGHT
           Adem Bona               PHI 22.0  4.224138 0.465517 1.051724 0.448276 1.189655 2.155172 1.551724  5.810345       -1.931034      82   235.0
      Andre Drummond               PHI 31.0  7.750000 0.850000 1.375000 0.975000 0.450000 2.350000 1.725000  7.325000       -6.125000      83   279.0
      Ausar Thompson               DET 22.0  5.135593 2.271186 1.355932 1.661017 0.677966 2.779661 2.203390 10.067797        1.135593      78   205.0
         Ben Simmons               LAC 28.0  4.725490 5.588235 2.000000 0.745098 0.450980 2.098039 1.137255  5.019608       -1.098039      82   240.0
      Brandon Clarke               MEM 28.0  5.093750 1.031250 0.640625 0.812500 0.562500 2.265625 1.234375  8.343750        2.828125      80   215.0
       Chet Holmgren               OKC 23.0  8.031250 1.968750 1.750000 0.718750 2.218750 2.250000 2.968750 14.968750        9.187500      85   208.0
        Clint Capela               ATL 31.0  8.527273 1.127273 0.854545 0.618182 0.963636 1.927273 1.618182  8.872727       -1.436364      82   256.0
      Daniel Gafford               DAL 26.0  6.807018 1.403509 1.157895 0.403509 1.789474 2.666667 2.719298 12.298246        0.614035      82   265.0
      Day'Ron Sharpe               BKN 23.0  6.600000 1.820000 1.260000 0.820000 0.840000 2.260000 1.460000  7.940000        1.280000      81   265.0
      DeAndre Jordan               DEN 36.0  5.071429 0.946429 0.714286 0.285714 0.482143 1.321429 1.214286  3.732143       -0.839286      83   265.0
       Deandre Ayton               POR 26.0 10.150000 1.600000 1.725000 0.775000 0.975000 2.200000 1.475000 14.400000       -4.050000      84   252.0
    Dereck Lively II               DAL 21.0  7.500000 2.361111 1.138889 0.555556 1.555556 2.777778 1.416667  8.722222        3.361111      85   230.0
     Donovan Clingan               POR 21.0  7.865672 1.149254 1.074627 0.507463 1.641791 2.820896 1.462687  6.507463       -0.029851      86   280.0
        Goga Bitadze               ORL 25.0  6.614286 1.957143 1.028571 0.700000 1.400000 2.142857 1.714286  7.171429        1.142857      82   250.0
   Haywood Highsmith               MIA 28.0  3.405405 1.513514 0.729730 0.918919 0.500000 2.216216 0.635135  6.459459        0.824324      77   220.0
      Isaiah Stewart               DET 24.0  5.541667 1.708333 0.944444 0.388889 1.402778 2.541667 1.291667  6.041667        0.125000      80   250.0
