Cluster 4 - Alle Spieler:

           PLAYER_NAME TEAM_ABBREVIATION  AGE  REB_AVG  AST_AVG  TOV_AVG  STL_AVG  BLK_AVG   PF_AVG  PFD_AVG   PTS_AVG  PLUS_MINUS_AVG  HEIGHT  WEIGHT
              AJ Green               MIL 25.0 2.383562 1.479452 0.547945 0.506849 0.095890 2.150685 0.684932  7.410959        3.109589      76   190.0
         Aaron Holiday               HOU 28.0 1.258065 1.338710 0.596774 0.306452 0.177419 1.032258 0.790323  5.483871        1.419355      72   185.0
         Aaron Nesmith               IND 25.0 3.955556 1.200000 0.822222 0.777778 0.377778 2.533333 1.711111 12.022222        4.400000      78   215.0
            Alec Burks               MIA 33.0 2.530612 1.122449 0.591837 0.571429 0.142857 0.755102 0.877551  7.265306        2.244898      77   214.0
           Alex Caruso               OKC 31.0 2.944444 2.537037 0.685185 1.611111 0.555556 1.888889 1.148148  7.074074        5.944444      77   186.0
           Amir Coffey               LAC 28.0 2.236111 1.069444 0.625000 0.555556 0.097222 1.666667 1.319444  9.666667       -0.916667      79   210.0
     Andre Jackson Jr.               MIL 23.0 2.716418 1.238806 0.865672 0.507463 0.208955 1.701493 0.402985  3.432836       -0.492537      78   209.0
           Ayo Dosunmu               CHI 25.0 3.500000 4.521739 1.500000 0.934783 0.391304 2.282609 1.369565 12.304348       -5.086957      77   200.0
          Ben Sheppard               IND 23.0 2.809524 1.349206 0.349206 0.603175 0.222222 1.984127 0.555556  5.269841       -0.936508      78   190.0
     Bogdan Bogdanović               LAC 32.0 2.944444 2.703704 1.370370 0.759259 0.203704 2.351852 1.351852 10.796296        1.962963      77   225.0
        Brandon Boston               NOP 23.0 3.190476 2.190476 1.238095 1.261905 0.214286 1.738095 1.595238 10.666667       -3.333333      78   188.0
        Brandon Miller               CHA 22.0 4.851852 3.629630 2.814815 1.074074 0.740741 2.740741 2.666667 21.037037       -4.592593      79   200.0
      Brice Sensabaugh               UTA 21.0 2.957746 1.549296 1.507042 0.647887 0.112676 1.563380 0.760563 10.873239       -4.014085      77   235.0
           Bruce Brown               NOP 28.0 4.000000 2.048780 0.951220 0.829268 0.243902 1.731707 1.170732  8.292683       -5.512195      76   202.0
          Caleb Martin               DAL 29.0 3.933333 2.111111 1.244444 1.022222 0.511111 1.933333 1.800000  7.911111       -3.444444      77   205.0
            Cam Thomas               BKN 23.0 3.320000 3.760000 2.480000 0.600000 0.080000 1.760000 4.600000 23.960000       -3.680000      75   210.0
          Cam Whitmore               HOU 20.0 2.960784 0.960784 0.901961 0.607843 0.254902 0.862745 0.901961  9.352941       -0.019608      79   230.0
         Cameron Payne               NYK 30.0 1.444444 2.819444 0.722222 0.541667 0.222222 1.541667 0.847222  6.944444        2.833333      75   183.0
         Chris Boucher               TOR 32.0 4.480000 0.660000 0.580000 0.480000 0.500000 1.360000 1.380000 10.040000        0.100000      81   200.0
           Cody Martin               PHX 29.0 4.226415 1.981132 0.962264 1.056604 0.603774 1.792453 1.150943  6.754717       -1.981132      78   205.0
         Cody Williams               UTA 20.0 2.260000 1.180000 0.880000 0.460000 0.320000 1.900000 0.620000  4.600000       -6.780000      79   190.0
         Corey Kispert               WAS 26.0 2.967213 1.688525 1.049180 0.426230 0.229508 1.606557 0.983607 11.557377       -4.491803      78   224.0
       DaQuan Jeffries               CHA 27.0 2.872340 1.127660 0.744681 0.553191 0.531915 2.106383 0.595745  6.702128       -5.872340      77   222.0
         Dalano Banton               POR 25.0 2.014925 2.388060 1.283582 0.641791 0.507463 0.865672 1.373134  8.343284       -0.820896      80   203.0
           Dalen Terry               CHI 22.0 1.698630 1.328767 0.726027 0.602740 0.205479 1.561644 0.753425  4.465753       -2.356164      79   195.0
         Dalton Knecht               LAL 24.0 2.769231 0.846154 0.474359 0.307692 0.102564 1.192308 0.743590  9.051282       -0.935897      78   215.0
             Dean Wade               CLE 28.0 4.220339 1.288136 0.372881 0.711864 0.338983 1.711864 0.542373  5.423729        4.813559      81   228.0
       Dejounte Murray               NOP 28.0 6.451613 7.354839 3.419355 2.032258 0.387097 1.967742 2.645161 17.483871       -6.677419      76   180.0
   Dorian Finney-Smith               LAL 32.0 3.920635 1.428571 0.888889 0.920635 0.365079 2.158730 0.666667  8.714286        4.904762      79   220.0
          Drew Eubanks               LAC 28.0 3.704918 0.885246 0.672131 0.196721 0.639344 1.032787 1.049180  4.590164       -2.065574      82   245.0
          Gabe Vincent               LAL 29.0 1.277778 1.361111 0.569444 0.708333 0.180556 2.111111 0.625000  6.388889        0.666667      74   200.0
      Garrison Mathews               ATL 28.0 1.851064 1.276596 0.659574 0.553191 0.319149 1.723404 1.446809  7.510638       -1.276596      78   215.0
        Gary Payton II               GSW 32.0 2.983871 1.338710 0.629032 0.838710 0.274194 1.741935 0.580645  6.451613        0.725806      74   195.0
           Gradey Dick               TOR 21.0 3.574074 1.814815 1.537037 0.888889 0.185185 2.222222 2.351852 14.388889       -3.888889      78   200.0
         Grayson Allen               PHX 29.0 3.031250 2.140625 1.171875 0.843750 0.296875 1.484375 1.656250 10.625000       -1.234375      76   198.0
            Gui Santos               GSW 23.0 3.071429 1.428571 0.750000 0.446429 0.178571 1.625000 0.732143  4.053571        2.946429      78   185.0
     Immanuel Quickley               TOR 26.0 3.545455 5.787879 1.757576 0.696970 0.121212 1.848485 2.878788 17.090909       -1.181818      74   190.0
           Isaac Okoro               CLE 24.0 2.363636 1.236364 0.418182 0.581818 0.290909 1.890909 0.800000  6.127273        4.600000      77   225.0
        Ja'Kobe Walter               TOR 20.0 3.076923 1.557692 0.961538 0.826923 0.192308 1.826923 1.384615  8.634615       -1.596154      77   180.0
         Jabari Walker               POR 22.0 3.516667 0.616667 0.566667 0.550000 0.100000 1.450000 1.033333  5.216667        0.250000      79   237.0
           Jaden Hardy               DAL 22.0 1.561404 1.421053 1.438596 0.491228 0.087719 1.578947 1.192982  8.701754       -1.140351      75   198.0
            Jaden Ivey               DET 23.0 4.133333 3.966667 2.966667 0.933333 0.366667 2.233333 3.166667 17.600000       -2.066667      76   195.0
           Jalen Suggs               ORL 24.0 4.028571 3.685714 2.914286 1.457143 0.942857 2.800000 3.685714 16.200000        0.085714      77   205.0
           Jamal Shead               TOR 22.0 1.533333 4.213333 1.560000 0.773333 0.133333 2.106667 1.320000  7.106667       -3.120000      73   200.0
        Jamison Battle               TOR 24.0 2.677966 0.898305 0.457627 0.288136 0.169492 1.559322 0.423729  7.101695       -3.101695      79   220.0
         Jarace Walker               IND 21.0 3.053333 1.466667 1.040000 0.720000 0.333333 1.533333 0.840000  6.146667       -1.946667      79   235.0
          Jared Butler               PHI 24.0 1.833333 3.666667 1.333333 0.700000 0.216667 1.616667 1.233333  9.016667       -2.183333      75   193.0
         Javonte Green               CLE 31.0 3.205882 0.823529 0.470588 0.955882 0.455882 1.441176 1.058824  5.102941       -3.117647      77   205.0
              Jay Huff               MEM 27.0 2.015625 0.593750 0.531250 0.250000 0.875000 1.218750 0.687500  6.859375        0.390625      85   240.0
       Jaylin Williams               OKC 23.0 5.574468 2.553191 0.744681 0.468085 0.617021 1.680851 0.893617  5.914894        6.425532      81   240.0
          Jerami Grant               POR 31.0 3.468085 2.148936 1.382979 0.872340 0.978723 2.319149 2.574468 14.404255       -4.297872      79   210.0
Jeremiah Robinson-Earl               NOP 24.0 4.772727 1.333333 0.772727 0.590909 0.106061 1.196970 0.742424  6.333333       -5.015152      80   240.0
         Johnny Juzang               UTA 24.0 2.875000 1.062500 0.562500 0.609375 0.125000 1.968750 0.671875  8.921875       -5.578125      77   226.0
       Jordan Clarkson               UTA 33.0 3.189189 3.729730 2.324324 0.837838 0.243243 1.405405 2.972973 16.216216       -5.513514      75   194.0
        Jordan Hawkins               NOP 23.0 2.821429 1.178571 1.035714 0.535714 0.410714 0.910714 1.303571 10.785714       -5.660714      77   190.0
         Jose Alvarado               NOP 27.0 2.428571 4.625000 1.535714 1.321429 0.250000 1.625000 1.339286 10.339286       -4.142857      72   179.0
            Josh Green               CHA 24.0 2.529412 1.588235 1.029412 1.088235 0.220588 2.426471 1.279412  7.441176       -5.352941      77   200.0
           Josh Okogie               CHA 26.0 2.825000 0.825000 0.775000 1.200000 0.475000 1.175000 1.700000  7.075000       -0.325000      76   213.0
       Julian Phillips               CHI 21.0 2.139241 0.493671 0.341772 0.481013 0.253165 1.367089 0.759494  4.632911        0.379747      80   198.0
      Julian Strawther               DEN 23.0 2.184615 1.276923 0.876923 0.600000 0.246154 2.323077 1.492308  9.046154       -1.092308      78   205.0
        Justin Edwards               PHI 21.0 3.363636 1.568182 1.113636 1.022727 0.363636 2.227273 0.863636 10.113636       -6.363636      79   203.0
             KJ Martin               UTA 24.0 2.906977 1.116279 0.558140 0.395349 0.511628 2.348837 0.837209  6.372093       -3.302326      78   215.0
            KJ Simpson               CHA 22.0 3.027778 3.111111 1.555556 0.944444 0.166667 1.555556 2.138889  7.833333       -7.722222      72   189.0
        Karlo Matković               NOP 24.0 4.976190 1.095238 1.023810 0.523810 0.976190 2.523810 0.952381  7.738095       -2.119048      82   231.0
          Kelly Olynyk               NOP 34.0 4.681818 2.909091 1.727273 0.750000 0.431818 2.795455 2.181818  8.727273       -1.318182      83   240.0
      Kenrich Williams               OKC 30.0 3.492754 1.405797 0.565217 0.623188 0.144928 1.594203 0.782609  6.318841        4.768116      78   210.0
       Khris Middleton               WAS 33.0 3.702703 4.054054 1.513514 0.945946 0.216216 2.027027 1.864865 11.891892        1.054054      79   222.0
           Kris Murray               POR 24.0 2.637681 0.985507 0.623188 0.507246 0.246377 0.956522 0.608696  4.159420       -0.724638      80   216.0
         Kyle Anderson               MIA 31.0 3.377049 2.377049 0.606557 0.655738 0.540984 1.327869 0.983607  5.852459       -0.360656      81   230.0
            Lonzo Ball               CHI 27.0 3.371429 3.285714 1.171429 1.342857 0.485714 1.571429 0.514286  7.628571        2.857143      78   190.0
          Luke Kennard               MEM 29.0 2.815385 3.307692 1.107692 0.769231 0.076923 0.907692 0.692308  8.861538        1.876923      77   206.0
         Marcus Sasser               DET 24.0 1.210526 2.333333 0.947368 0.649123 0.070175 1.263158 0.859649  6.578947        0.719298      74   195.0
          Marcus Smart               WAS 31.0 2.117647 3.205882 1.588235 1.147059 0.264706 1.558824 2.000000  8.970588        1.235294      75   220.0
             Max Strus               CLE 29.0 4.340000 3.160000 1.080000 0.520000 0.240000 2.080000 1.140000  9.420000        4.420000      77   215.0
         Moritz Wagner               ORL 28.0 4.933333 1.400000 1.633333 0.800000 0.400000 1.833333 3.200000 12.866667       -0.566667      83   245.0
