Cluster 5 - Alle Spieler:

 AST_PCT  AST_TO  AST_RATIO  USG_PCT  E_USG_PCT  TM_TOV_PCT  E_TOV_PCT  MIN  FGM  FGA  FGM_PG  FGA_PG  FG_PCT  EFG_PCT  TS_PCT  OREB_PCT  DREB_PCT  REB_PCT  E_OFF_RATING  OFF_RATING  E_DEF_RATING  DEF_RATING  E_NET_RATING  NET_RATING   PIE  E_PACE   PACE  PACE_PER40
   0.209    1.44       14.8    0.307      0.314        10.3       10.2 36.3  721 1612     9.1    20.4   0.447    0.547   0.595     0.021     0.131    0.077         114.7       116.2         109.8       111.4           4.9         4.8 0.140   99.61  98.27       81.89
   0.409    2.06       25.0    0.323      0.330        12.1       12.0 35.0  684 1457     9.8    20.8   0.469    0.521   0.565     0.023     0.147    0.086         113.5       115.0         110.5       112.2           3.0         2.8 0.152  103.01 101.57       84.64
   0.182    3.26       17.7    0.244      0.250         5.4        5.4 35.9  624 1308     8.1    17.0   0.477    0.509   0.569     0.018     0.090    0.054         115.3       116.8         114.5       115.3           0.8         1.5 0.112  100.33  99.35       82.79
   0.301    2.40       22.4    0.285      0.292         9.3        9.2 37.3  654 1420     8.7    18.9   0.461    0.525   0.589     0.028     0.080    0.055         114.7       115.3         117.7       118.5          -3.0        -3.2 0.122   99.28  98.72       82.27
   0.238    2.38       18.0    0.298      0.309         7.6        7.5 31.4  585 1320     8.2    18.6   0.443    0.531   0.575     0.025     0.112    0.069         120.0       119.7         108.3       109.1          11.7        10.5 0.137  102.49 102.21       85.18
   0.339    2.10       19.2    0.346      0.352         9.1        9.1 34.2  793 1319    11.8    19.7   0.601    0.607   0.625     0.067     0.266    0.172         117.7       118.9         110.4       111.7           7.3         7.2 0.210  101.24 100.18       83.48
   0.318    2.90       23.5    0.289      0.295         8.1        8.1 35.4  585 1200     9.0    18.5   0.488    0.551   0.605     0.012     0.072    0.042         116.4       118.3         115.3       115.7           1.0         2.6 0.138   98.78  97.79       81.49
   0.159    1.39       13.7    0.267      0.273         9.9        9.8 32.9  608 1437     7.4    17.5   0.423    0.505   0.544     0.015     0.120    0.065         111.2       113.8         109.6       111.1           1.6         2.8 0.111  101.57  99.75       83.13
   0.365    2.01       26.9    0.286      0.294        13.4       13.2 35.3  531 1295     6.7    16.4   0.410    0.501   0.582     0.020     0.143    0.083         113.7       115.4         108.0       109.2           5.7         6.2 0.145  100.09  98.82       82.35
   0.102    0.97        8.8    0.274      0.281         9.1        9.1 29.8  592 1213     8.0    16.4   0.488    0.548   0.591     0.038     0.134    0.087         113.8       115.2         107.9       108.8           6.0         6.4 0.124  106.67 105.56       87.97
   0.266    2.06       18.9    0.301      0.309         9.2        9.1 36.4  662 1465     9.2    20.3   0.452    0.537   0.582     0.017     0.206    0.112         118.0       119.6         108.2       109.8           9.8         9.8 0.158   99.57  98.14       81.78
   0.130    1.16       12.4    0.265      0.272        10.7       10.6 35.0  639 1215     8.9    16.9   0.526    0.584   0.630     0.087     0.284    0.187         117.5       119.4         112.2       112.7           5.3         6.8 0.161  100.26  99.25       82.71
   0.395    2.21       25.6    0.291      0.301        11.6       11.6 34.9  651 1270     9.3    18.1   0.513    0.571   0.604     0.031     0.187    0.112         113.3       112.7         113.0       114.0           0.3        -1.3 0.169  100.82 100.62       83.85
   0.141    2.32       18.3    0.192      0.196         7.9        7.9 37.0  592 1183     7.2    14.4   0.500    0.570   0.585     0.024     0.063    0.043         116.4       118.4         112.1       112.9           4.3         5.6 0.090   99.31  98.10       81.75
   0.398    3.11       28.7    0.285      0.292         9.2        9.2 36.7  786 1364    11.2    19.5   0.576    0.627   0.663     0.083     0.252    0.173         124.3       125.6         113.8       115.1          10.4        10.5 0.206  103.11 101.99       84.99
   0.155    2.41       15.6    0.237      0.244         6.5        6.5 32.7  613 1182     7.9    15.2   0.519    0.572   0.599     0.053     0.154    0.104         114.9       114.5         108.2       108.9           6.7         5.5 0.130  101.58 101.43       84.53
   0.299    2.66       18.7    0.336      0.345         7.0        7.0 34.2  860 1656    11.3    21.8   0.519    0.569   0.637     0.025     0.112    0.069         120.6       122.4         104.7       105.7          16.0        16.7 0.199  103.18 101.91       84.92
   0.284    2.11       21.1    0.286      0.293        10.0        9.9 32.2  564 1258     8.1    18.0   0.448    0.572   0.618     0.017     0.118    0.066         116.9       118.4         112.3       112.7           4.7         5.7 0.145  102.55 101.72       84.77
   0.452    2.48       30.9    0.285      0.292        12.5       12.4 36.0  566 1376     7.4    18.1   0.411    0.491   0.567     0.012     0.072    0.042         114.2       115.2         113.9       114.6           0.3         0.6 0.129  106.32 105.51       87.93
   0.254    2.14       20.0    0.271      0.279         9.3        9.2 35.4  651 1378     8.5    17.9   0.472    0.563   0.605     0.013     0.132    0.073         112.9       113.9         112.0       112.6           0.9         1.3 0.139   98.46  97.78       81.48
   0.178    1.49       16.7    0.251      0.257        11.2       11.1 35.2  625 1223     8.4    16.5   0.511    0.609   0.639     0.009     0.107    0.059         114.4       115.4         115.3       116.8          -0.9        -1.4 0.115  102.36 101.28       84.40

--- Medianwerte ---
AST_PCT: 0.266
AST_TO: 2.14
AST_RATIO: 18.9
USG_PCT: 0.285
E_USG_PCT: 0.292
TM_TOV_PCT: 9.3
E_TOV_PCT: 9.2
MIN: 35.2
FGM: 625.0
FGA: 1319.0
FGM_PG: 8.5
FGA_PG: 18.1
FG_PCT: 0.477
EFG_PCT: 0.551
TS_PCT: 0.595
OREB_PCT: 0.023
DREB_PCT: 0.131
REB_PCT: 0.073
E_OFF_RATING: 114.9
OFF_RATING: 116.2
E_DEF_RATING: 112.0
DEF_RATING: 112.6
E_NET_RATING: 4.7
NET_RATING: 5.5
PIE: 0.139
E_PACE: 101.24
PACE: 100.18
PACE_PER40: 83.48
