,TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,W
0,1610612737,Atlanta Hawks,113.7,114.8,-1.1,40
1,1610612738,Boston Celtics,119.5,110.1,9.4,61
2,1610612751,Brooklyn Nets,108.1,115.4,-7.3,26
3,1610612766,Charlotte Hornets,106.7,115.7,-9.1,19
4,1610612741,Chicago Bulls,113.2,114.8,-1.6,39
5,1610612739,Cleveland Cavaliers,121.0,111.8,9.2,64
6,1610612742,Dallas Mavericks,113.7,115.0,-1.3,39
7,1610612743,Denver Nuggets,118.9,115.1,3.8,50
8,1610612765,Detroit Pistons,114.6,112.5,2.1,44
9,1610612744,Golden State Warriors,114.2,111.0,3.2,48
10,1610612745,Houston Rockets,114.9,110.3,4.6,52
11,1610612754,Indiana Pacers,115.4,113.3,2.1,50
12,1610612746,LA Clippers,114.3,109.4,4.9,50
13,1610612747,Los Angeles Lakers,115.0,113.8,1.2,50
14,1610612763,Memphis Grizzlies,117.2,112.6,4.7,48
15,1610612748,Miami Heat,112.4,112.0,0.4,37
16,1610612749,Milwaukee Bucks,115.1,112.7,2.4,48
17,1610612750,Minnesota Timberwolves,115.7,110.8,5.0,49
18,1610612740,New Orleans Pelicans,109.7,119.1,-9.4,21
19,1610612752,New York Knicks,117.3,113.3,4.0,51
20,1610612760,Oklahoma City Thunder,119.2,106.6,12.7,68
21,1610612753,Orlando Magic,108.9,109.1,-0.2,41
22,1610612755,Philadelphia 76ers,111.0,117.3,-6.3,24
23,1610612756,Phoenix Suns,114.7,117.7,-3.0,36
24,1610612757,Portland Trail Blazers,111.0,113.7,-2.7,36
25,1610612758,Sacramento Kings,115.9,115.3,0.6,40
26,1610612759,San Antonio Spurs,113.5,116.3,-2.8,34
27,1610612761,Toronto Raptors,109.6,113.6,-4.1,30
28,1610612762,Utah Jazz,110.2,119.4,-9.2,17
29,1610612764,Washington Wizards,105.8,118.0,-12.2,18
