Cluster 0 - Alle Spieler:

 USG_PCT  PCT_FGM  PCT_FG3M  PCT_FTM  PCT_OREB  PCT_DREB  PCT_AST  PCT_TOV  PCT_STL  PCT_BLK  PCT_PF  PCT_PFD  PCT_PTS
   0.177    0.184     0.295    0.072     0.127     0.196    0.109    0.185    0.103    0.093   0.285    0.087    0.182
   0.178    0.192     0.114    0.094     0.185     0.189    0.208    0.185    0.410    0.201   0.180    0.137    0.170
   0.203    0.208     0.236    0.191     0.183     0.147    0.078    0.148    0.131    0.189   0.204    0.167    0.209
   0.145    0.167     0.158    0.096     0.193     0.142    0.154    0.109    0.194    0.106   0.204    0.125    0.155
   0.191    0.188     0.205    0.171     0.120     0.148    0.214    0.176    0.210    0.217   0.162    0.171    0.187
   0.131    0.148     0.277    0.079     0.091     0.169    0.220    0.134    0.167    0.218   0.224    0.096    0.153
   0.153    0.148     0.336    0.191     0.070     0.129    0.122    0.114    0.174    0.158   0.242    0.192    0.179
   0.161    0.157     0.210    0.193     0.158     0.155    0.137    0.122    0.120    0.029   0.190    0.153    0.170
   0.212    0.204     0.236    0.175     0.156     0.189    0.173    0.188    0.261    0.171   0.250    0.163    0.204
   0.179    0.180     0.247    0.189     0.181     0.238    0.107    0.148    0.244    0.184   0.229    0.188    0.190
   0.179    0.188     0.264    0.111     0.164     0.195    0.184    0.171    0.153    0.084   0.141    0.099    0.187
   0.185    0.174     0.297    0.183     0.178     0.210    0.078    0.137    0.152    0.250   0.251    0.197    0.192
   0.186    0.212     0.310    0.098     0.176     0.133    0.242    0.154    0.198    0.058   0.152    0.101    0.212
   0.195    0.189     0.272    0.162     0.121     0.149    0.246    0.212    0.203    0.261   0.165    0.171    0.199
   0.140    0.160     0.278    0.025     0.114     0.171    0.076    0.064    0.188    0.079   0.174    0.055    0.163
   0.156    0.156     0.155    0.113     0.201     0.136    0.224    0.171    0.232    0.120   0.171    0.106    0.150
   0.136    0.135     0.172    0.069     0.212     0.240    0.139    0.123    0.159    0.283   0.153    0.066    0.133
   0.110    0.092     0.109    0.055     0.221     0.185    0.101    0.131    0.154    0.212   0.192    0.101    0.089
   0.115    0.118     0.191    0.083     0.121     0.090    0.110    0.116    0.243    0.084   0.223    0.121    0.122
   0.151    0.192     0.278    0.103     0.088     0.121    0.114    0.097    0.186    0.070   0.144    0.130    0.191
   0.205    0.206     0.309    0.104     0.041     0.123    0.212    0.190    0.086    0.050   0.156    0.084    0.203
   0.150    0.124     0.180    0.184     0.219     0.252    0.131    0.132    0.142    0.143   0.184    0.176    0.140
   0.136    0.140     0.190    0.069     0.149     0.134    0.092    0.107    0.197    0.263   0.241    0.075    0.136
   0.126    0.130     0.141    0.146     0.255     0.126    0.062    0.082    0.210    0.180   0.245    0.139    0.134
   0.142    0.144     0.128    0.152     0.165     0.120    0.175    0.164    0.267    0.129   0.284    0.152    0.143
   0.171    0.169     0.272    0.061     0.082     0.147    0.154    0.140    0.240    0.154   0.194    0.070    0.166
   0.165    0.149     0.194    0.114     0.138     0.165    0.133    0.173    0.181    0.232   0.159    0.123    0.150
   0.140    0.136     0.289    0.058     0.121     0.121    0.138    0.097    0.215    0.114   0.223    0.097    0.146
   0.113    0.115     0.134    0.124     0.187     0.192    0.086    0.092    0.267    0.238   0.211    0.151    0.119
   0.101    0.097     0.185    0.037     0.181     0.224    0.105    0.067    0.180    0.180   0.228    0.065    0.101
   0.124    0.125     0.156    0.100     0.189     0.108    0.110    0.084    0.177    0.163   0.259    0.111    0.126
   0.150    0.138     0.222    0.158     0.095     0.156    0.129    0.149    0.183    0.149   0.168    0.134    0.150
   0.214    0.206     0.401    0.111     0.102     0.150    0.132    0.167    0.163    0.124   0.115    0.076    0.216
   0.197    0.219     0.133    0.174     0.205     0.195    0.209    0.200    0.224    0.057   0.164    0.154    0.203
   0.198    0.184     0.181    0.213     0.196     0.276    0.130    0.216    0.212    0.247   0.180    0.221    0.188
   0.158    0.150     0.084    0.244     0.373     0.211    0.136    0.077    0.217    0.098   0.140    0.231    0.157
   0.155    0.183     0.131    0.171     0.163     0.164    0.114    0.110    0.190    0.149   0.188    0.136    0.176
   0.197    0.212     0.291    0.159     0.223     0.220    0.095    0.138    0.119    0.143   0.173    0.137    0.212
   0.173    0.172     0.289    0.135     0.054     0.127    0.102    0.130    0.167    0.116   0.271    0.168    0.177
   0.186    0.187     0.203    0.254     0.242     0.164    0.169    0.166    0.096    0.121   0.166    0.222    0.199
   0.215    0.229     0.475    0.112     0.090     0.104    0.111    0.117    0.196    0.019   0.123    0.116    0.241
