Cluster 3 - Alle Spieler:

 AGE  OFF_RATING_Advanced  DEF_RATING_Advanced  NET_RATING_Advanced  E_TOV_PCT_Advanced  EFG_PCT_Advanced  USG_PCT_Advanced  PACE_Advanced  PIE_Advanced  POSS_Advanced  USG_PCT_Usage  PCT_FGM_Usage  PCT_FG3M_Usage  PCT_FTM_Usage  PCT_OREB_Usage  PCT_DREB_Usage  PCT_AST_Usage  PCT_TOV_Usage  PCT_STL_Usage  PCT_BLK_Usage  PCT_PF_Usage  PCT_PFD_Usage  PCT_PTS_2PT_Scoring  PCT_PTS_2PT_MR_Scoring  PCT_PTS_3PT_Scoring  PCT_PTS_FB_Scoring  PCT_PTS_FT_Scoring  OPP_PTS_OFF_TOV_Defense  OPP_PTS_2ND_CHANCE_Defense  OPP_PTS_FB_Defense  OPP_PTS_PAINT_Defense  DEF_WS_Defense  DEF_WS_RAW_Defense
24.0                109.7                111.1                 -1.4                 5.7             0.508             0.189         103.71         0.082           1050          0.189          0.193           0.262          0.219           0.135           0.199          0.109          0.102          0.153          0.154         0.207          0.187                0.398                   0.008                0.419               0.242               0.183                      176                         168                 182                    520            1.67            1.672713
20.0                104.1                115.6                -11.5                10.3             0.441             0.173         100.83         0.053           1342          0.173          0.161           0.142          0.151           0.059           0.118          0.241          0.190          0.132          0.049         0.222          0.117                0.527                   0.009                0.327               0.282               0.146                      240                         237                 242                    690            1.30            1.296878
28.0                110.3                103.6                  6.7                 9.1             0.571             0.162         103.09         0.082           1689          0.162          0.167           0.317          0.147           0.057           0.108          0.204          0.154          0.141          0.120         0.195          0.163                0.265                   0.065                0.635               0.082               0.100                      285                         234                 223                    796            4.56            4.564397
22.0                107.4                114.0                 -6.6                18.8             0.703             0.135         100.51         0.093           1900          0.135          0.179           0.000          0.206           0.428           0.258          0.065          0.220          0.166          0.600         0.350          0.261                0.801                   0.000                0.000               0.068               0.199                      343                         308                 303                    916            2.31            2.307378
23.0                110.0                100.2                  9.7                 9.9             0.557             0.159         100.63         0.082           1254          0.159          0.178           0.148          0.142           0.142           0.118          0.210          0.200          0.175          0.074         0.268          0.237                0.581                   0.051                0.295               0.132               0.124                      129                         158                 118                    512            3.83            3.829037
33.0                113.5                107.6                  5.9                 7.7             0.587             0.160          98.03         0.088           1766          0.160          0.158           0.342          0.128           0.084           0.178          0.112          0.120          0.207          0.106         0.142          0.135                0.152                   0.045                0.742               0.107               0.106                      270                         224                 263                    886            3.78            3.775383
31.0                103.4                118.9                -15.5                15.2             0.506             0.183          98.83         0.109           1543          0.183          0.194           0.019          0.239           0.532           0.446          0.109          0.239          0.271          0.300         0.293          0.247                0.778                   0.027                0.031               0.051               0.191                      284                         195                 297                    756            0.85            0.846805
24.0                107.3                117.5                -10.2                 9.0             0.558             0.183         101.12         0.072           1386          0.183          0.204           0.309          0.130           0.111           0.107          0.105          0.140          0.179          0.065         0.163          0.087                0.407                   0.052                0.502               0.184               0.091                      285                         187                 250                    696            1.01            1.007988
32.0                108.7                117.9                 -9.2                14.8             0.588             0.124         100.23         0.080           1102          0.124          0.146           0.000          0.085           0.457           0.319          0.105          0.179          0.184          0.523         0.311          0.192                0.931                   0.014                0.000               0.056               0.069                      171                         170                 160                    544            0.74            0.737037
22.0                110.2                109.7                  0.5                14.2             0.481             0.165         101.92         0.066           1443          0.165          0.138           0.085          0.177           0.110           0.095          0.278          0.241          0.316          0.092         0.199          0.223                0.590                   0.018                0.235               0.276               0.175                      274                         214                 209                    672            2.62            2.619936
25.0                112.1                115.9                 -3.9                 8.5             0.612             0.204         102.75         0.114            960          0.204          0.236           0.232          0.159           0.263           0.254          0.079          0.138          0.161          0.431         0.130          0.121                0.525                   0.205                0.393               0.115               0.082                      208                         135                 178                    472            0.92            0.916543
27.0                107.0                117.7                -10.7                13.3             0.530             0.305          97.49         0.122           1209          0.305          0.318           0.323          0.251           0.112           0.214          0.312          0.365          0.150          0.175         0.204          0.314                0.560                   0.230                0.323               0.098               0.117                      244                         194                 270                    654            0.83            0.833919
22.0                106.9                113.8                 -6.8                10.9             0.509             0.270          98.77         0.100           1903          0.270          0.269           0.360          0.246           0.103           0.169          0.205          0.248          0.196          0.220         0.193          0.203                0.331                   0.046                0.549               0.141               0.120                      362                         232                 251                    886            2.39            2.393953
25.0                109.5                108.8                  0.7                11.7             0.585             0.218         104.74         0.119           1064          0.218          0.227           0.198          0.306           0.152           0.136          0.302          0.265          0.264          0.132         0.199          0.308                0.538                   0.058                0.262               0.171               0.200                      178                         147                 190                    614            2.04            2.040399
28.0                104.8                116.8                -11.9                 8.5             0.464             0.169         100.19         0.078           1925          0.169          0.171           0.140          0.175           0.175           0.205          0.165          0.139          0.219          0.116         0.182          0.144                0.606                   0.059                0.238               0.147               0.156                      344                         288                 280                    918            1.59            1.592526
22.0                104.2                108.2                 -4.1                 5.3             0.589             0.115          96.82         0.061           1589          0.115          0.132           0.302          0.066           0.106           0.115          0.093          0.056          0.169          0.065         0.192          0.064                0.134                   0.033                0.803               0.138               0.063                      296                         219                 223                    784            3.29            3.287555
25.0                107.6                115.9                 -8.4                 8.6             0.473             0.084         100.53         0.040           1240          0.084          0.078           0.088          0.075           0.148           0.130          0.074          0.069          0.327          0.167         0.206          0.093                0.476                   0.019                0.371               0.248               0.153                      232                         161                 224                    700            1.17            1.170981
23.0                114.9                120.6                 -5.7                 9.2             0.513             0.328          96.10         0.122           1563          0.328          0.315           0.285          0.454           0.101           0.144          0.230          0.287          0.142          0.034         0.128          0.387                0.437                   0.140                0.341               0.072               0.222                      268                         271                 267                    880            0.47            0.474158
20.0                113.4                112.3                  1.1                 8.7             0.525             0.231         100.93         0.108           1729          0.231          0.248           0.273          0.194           0.134           0.213          0.130          0.169          0.197          0.169         0.130          0.146                0.478                   0.059                0.409               0.277               0.113                      299                         254                 253                    926            2.53            2.534318
23.0                121.7                105.6                 16.1                10.8             0.554             0.214         103.83         0.122           1891          0.214          0.194           0.175          0.307           0.273           0.309          0.125          0.262          0.129          0.490         0.227          0.277                0.514                   0.033                0.276               0.138               0.210                      227                         270                 261                    730            4.43            4.434292
32.0                113.3                113.5                 -0.2                 6.2             0.586             0.208          99.28         0.126           1787          0.208          0.240           0.314          0.236           0.282           0.279          0.063          0.115          0.173          0.325         0.177          0.211                0.446                   0.036                0.418               0.173               0.136                      310                         277                 281                    864            2.26            2.256692
23.0                104.4                114.8                -10.4                10.9             0.519             0.138          99.47         0.078           1066          0.138          0.141           0.124          0.153           0.169           0.198          0.169          0.156          0.321          0.213         0.190          0.194                0.548                   0.076                0.306               0.197               0.146                      186                         193                 168                    510            1.15            1.146203
25.0                106.1                108.2                 -2.1                13.9             0.480             0.125         102.22         0.074            915          0.125          0.132           0.019          0.173           0.353           0.225          0.126          0.162          0.127          0.278         0.304          0.169                0.715                   0.000                0.049               0.073               0.236                      163                         139                 162                    450            1.84            1.837498
26.0                115.6                118.4                 -2.8                 6.5             0.554             0.170          98.66         0.105            947          0.170          0.170           0.265          0.128           0.177           0.196          0.293          0.126          0.304          0.156         0.190          0.155                0.299                   0.052                0.603               0.052               0.098                      161                         113                 142                    452            0.57            0.574343
33.0                110.5                106.9                  3.6                 7.1             0.529             0.126          98.59         0.075           1252          0.126          0.125           0.218          0.067           0.137           0.141          0.238          0.105          0.260          0.071         0.202          0.162                0.260                   0.068                0.661               0.045               0.079                      219                         159                 191                    600            2.85            2.847611
