Algorithm | Silhouette Score | Cluster Size | Features | Cluster Distribution
================================================================================================================================================================
KMeans | 0.5853 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {1: 288, 0: 281}
Agglomerative-ward | 0.5571 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 346, 1: 223}
Agglomerative-average-manhattan | 0.5472 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 363, 1: 206}
KMeans | 0.5264 | 3 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {1: 203, 0: 202, 2: 164}
Agglomerative-average-manhattan | 0.5234 | 3 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 206, 2: 201, 1: 162}
Agglomerative-average-euclidean | 0.5007 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 406, 1: 163}
KMeans | 0.4970 | 4 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {2: 155, 3: 153, 1: 150, 0: 111}
Agglomerative-complete-manhattan | 0.4897 | 2 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {0: 415, 1: 154}
Agglomerative-average-euclidean | 0.4807 | 4 | ['PCT_STL_Usage', 'PCT_PTS_FB_Scoring', 'PCT_PTS_2PT_MR_Scoring', 'PCT_AST_Usage', 'PCT_BLK_Usage', 'PCT_DREB_Usage', 'PCT_PTS_FT_Scoring', 'PCT_PF_Usage', 'PCT_PTS_2PT_Scoring', 'PCT_OREB_Usage', 'PCT_PTS_3PT_Scoring', 'PCT_TOV_Usage', 'PCT_FG3M_Usage', 'PCT_PFD_Usage', 'PCT_FTM_Usage', 'USG_PCT_Advanced', 'PCT_FGM_Usage', 'OPP_PTS_OFF_TOV_Defense_AVG', 'OPP_PTS_FB_Defense_AVG', 'OPP_PTS_2ND_CHANCE_Defense_AVG', 'OPP_PTS_PAINT_Defense_AVG'] | {3: 164, 0: 163, 1: 129, 2: 113}
